COLLECTTIME,CELLID,SITE,NR_SA_Paging_Discard_Rate,NR_DL_Active_UEs,NR_UL_Active_UEs,NR_DL_MAC_Volume_MB,NR_UL_MAC_Volume_MB,NR_DL_Active_UEs_True,NR_UL_Active_UEs_True,NR_DL_RBSym_Util,NR_UL_RBSym_Util,NR_Msg2_Attempt_SR,NR_Msg2_Attempts,NR_RACH_SR,NR_RACH_Att,NR_UL_MAC_Cell_Thp_total_time_Mbps,NR_DL_MAC_Cell_Thp_total_time_Mbps,NR_DL_HARQ_BLER_256QAM,NR_DL_RLC_BLER,NR_Avg_DL_MAC_Thp_Mbps,NR_Avg_UL_MAC_UE_Thp_Mbps,NR_DL_MAC_Cell_Thp_Mbps,NR_UL_MAC_Cell_Thp_Mbps,NR_UL_HARQ_BLER_64_QAM,NR_UL_RLC_BLER,NR_UL_HARQ_BLER,NR_DL_HARQ_BLER,NR_UL_DTX_Rate,NR_DL_DTX_Rate,NR_Cell_Availability,NR_Avg_UL_PUCCH_SINR_dB,NR_Avg_UL_PUSCH_SINR_dB,NR_RANK_Below3_Rate,NR_Avg_CQI,NR_Avg_CQI_64QAM,NR_Avg_CQI_256QAM,NR_Avg_UL_Pathloss_dB,NR_Avg_UL_Power_Headroom_dB,NR_Avg_UL_Pathloss_95percentile_dB,NR_UL_RSSI,NR_Avg_MCS_Table1,NR_Avg_MCS_Table2,NR_TA,DL_Thp_Bad_Sessions,DL_Thp_Fair_Sessions,DL_Thp_Good_Sessions,DL_Thp_Excellent_Sessions,UL_Thp_Bad_Sessions,UL_Thp_Fair_Sessions,UL_Thp_Good_Sessions,UL_Thp_Excellent_Sessions,NR_Avg_UL_MAC_Thp_EBS_Mbps,NR_Avg_DL_MAC_Thp_EBS_Mbps,DL_Total_Sessions,UL_Total_Sessions,NR_Avg_DL_Latency_ms,NR_Cell_Availability_Num,NR_ENDC_Setup_Att,NR_ENDC_Setup_SR,NR_SA_RRC_ATT,NR_SA_RRC_SSSR,NR_SA_NG_Sig_SR,NR_ENDC_Inter_sgNodeB_PSCell_Change_SR,NR_ENDC_Intra_sgNodeB_PSCell_Change_SR,NR_SA_NR_to_LTE_RWR_Ratio,NR_SA_INTER_GNB_HO_SR,NR_SA_INTRA_GNB_HO_SR,NR_SA_HO_Prep_Succ_Rate,NR_SA_HO_Exec_Succ_Rate,NR_SA_HO_SR,NR_ENDC_SARR,NR_ENDC_RRC_CU_Max,NR_SA_RRC_CU_Max,NR_ENDC_RRC_CU_Avg,NR_SA_DRB_EST_SR,NR_SA_Drop_Rate,NR_SgNB_Abnormal_RR,NR_RRC_SSR,ESS_TOTAL_PRB_AVG_UTIL_DL,ESS_NR_PRB_AVG_UTIL_DL,essEnabled
20260704151500,AYT0381H_7NB01_S01,AYT0381P_9NB01,0.0,2.915,4.389,677.244,326.279,2.569,4.319,36.211,19.124,100.0,1092.0,88.095,1092.0,3.041,6.312,13.131,,8.107,3.011,14.353,6.305,7.567,,5.085,10.734,6.312,2.983,100.0,5.063,17.152,99.978,9.015,,9.015,114.536,15.625,112.781,-114.21,13.48,,5.357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.223,0.0,829.0,100.0,0.0,,,100.0,100.0,,,,,,,1.527,54.0,0.0,37.894,,,0.109,,60.52996016771488,19.698374213836477,1
20260704151500,AYT0381H_7NB01_S03,AYT0381P_9NB01,0.0,1.066,1.123,239.135,26.28,0.196,0.304,13.301,0.863,100.0,202.0,89.109,202.0,0.245,2.229,17.518,,32.316,14.684,19.642,4.024,6.386,,3.761,11.428,4.123,2.035,100.0,5.641,19.778,100.0,10.382,,10.381,106.105,22.632,110.277,-115.858,14.995,,6.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,157.0,100.0,0.0,,,92.857,100.0,,,,,,,0.0,8.0,0.0,3.267,,,0.0,,23.493607966457024,6.181779874213836,1
20260704151500,AYT0381H_7NB01_S04,AYT0381P_9NB01,0.0,1.038,1.048,56.794,9.712,0.072,0.146,6.402,0.372,100.0,96.0,93.75,96.0,0.091,0.529,26.57,,20.65,16.55,13.627,2.714,7.701,,3.743,10.083,3.7,0.741,100.0,5.638,20.223,100.0,8.09,,8.088,112.439,18.22,106.239,-114.424,14.234,,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151.0,0.0,64.0,100.0,1.0,,,100.0,100.0,,,,,,,1.429,6.0,0.0,2.022,,,0.0,100.0,14.122122641509435,2.7097452830188677,1
20260704153000,AYT0381H_7NB01_S01,AYT0381P_9NB01,0.0,3.063,4.083,825.921,256.137,2.727,3.97,39.666,12.865,100.0,1271.0,84.264,1271.0,2.387,7.698,13.602,,8.382,4.419,16.302,5.448,6.269,,4.144,10.619,5.327,2.812,100.0,5.28,18.938,99.997,8.765,,8.764,113.142,15.365,112.051,-114.598,14.157,,8.706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.956,0.0,908.0,99.89,1.0,,,100.0,100.0,,,,,,,1.493,53.0,1.0,40.256,,,0.0,100.0,60.060426976884074,23.090967005843787,1
20260704153000,AYT0381H_7NB01_S02,AYT0381P_9NB01,0.0,1.018,1.032,3.689,19.076,0.038,0.185,4.618,1.067,100.0,142.0,69.718,142.0,0.178,0.034,,,7.995,7.511,1.797,5.857,6.389,,4.263,19.624,25.255,9.408,100.0,5.673,18.956,,10.563,10.563,,116.831,13.181,117.049,-115.873,13.378,,5.352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,79.0,100.0,0.0,,,100.0,100.0,,,,,,,3.529,6.0,0.0,1.833,,,0.0,,31.905700398278388,1.176902256272126,1
20260704153000,AYT0381H_7NB01_S03,AYT0381P_9NB01,0.0,1.067,1.102,118.634,20.678,0.146,0.341,9.496,0.726,100.0,180.0,91.111,180.0,0.193,1.106,16.881,,23.209,19.89,12.376,3.936,4.779,,3.506,13.332,7.232,4.731,100.0,5.735,21.433,100.0,10.115,,10.115,105.794,21.943,112.636,-115.55,15.111,,6.389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,134.0,100.0,0.0,,,96.154,100.0,,,,,,,1.418,7.0,0.0,3.083,,,0.0,,19.033128747257365,4.243504718957021,1
20260704153000,AYT0381H_7NB01_S04,AYT0381P_9NB01,0.0,1.022,1.053,44.781,12.779,0.07,0.155,6.283,0.496,100.0,79.0,97.468,79.0,0.119,0.417,30.909,,20.301,17.743,12.423,3.752,6.851,,3.624,9.905,3.929,1.341,100.0,5.84,20.763,100.0,7.845,,7.844,111.784,19.292,108.685,-114.699,14.919,,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,63.0,100.0,0.0,,,100.0,100.0,,,,,,,1.587,6.0,0.0,2.039,,,0.0,,22.701380436621317,2.285360144149106,1
20260704154500,AYT0381H_7NB01_S01,AYT0381P_9NB01,0.0,3.872,4.701,1081.099,328.952,3.672,4.636,49.214,15.06,100.0,1050.0,86.762,1050.0,3.066,10.077,8.144,,7.134,3.244,18.408,6.36,7.56,,5.11,10.373,5.301,3.493,100.0,5.421,18.248,100.0,9.262,,9.262,110.347,17.513,111.175,-114.339,14.439,,5.838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.281,0.0,785.0,100.0,1.0,,,100.0,100.0,,,,,,,1.302,48.0,0.0,38.422,,,0.237,100.0,67.48681027253669,28.89007547169811,1
20260704154500,AYT0381H_7NB01_S03,AYT0381P_9NB01,0.0,1.064,1.123,134.933,19.309,0.159,0.32,9.64,0.662,100.0,174.0,83.908,174.0,0.18,1.258,22.372,,38.139,22.78,13.146,3.527,4.647,,2.804,13.43,5.298,2.327,100.0,5.747,21.609,100.0,9.337,,9.337,104.144,24.132,108.722,-116.007,14.5,,9.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,112.0,100.0,0.0,,,100.0,100.0,,,,,,,2.206,8.0,0.0,4.367,,,0.0,,24.19341928721174,4.113439203354298,1
20260704154500,AYT0381H_7NB01_S02,AYT0381P_9NB01,0.0,1.021,1.087,4.002,9.32,0.039,0.165,4.374,0.65,98.266,170.0,65.294,173.0,0.087,0.037,,,4.654,4.46,2.008,3.292,8.031,,5.485,18.627,30.753,8.414,100.0,4.944,19.213,,10.368,10.367,,111.704,17.348,116.828,-116.066,12.604,,7.139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.4,0.0,97.0,93.814,0.0,,,100.0,100.0,,,,,,,12.0,5.0,0.0,1.461,,,0.0,,31.6563679245283,1.154353249475891,1
